MSE, Q-LIKE
93869.14796,   5.72646
12044.13963,   4.70270
24187.38585,   5.04999
9445.36371,   4.58175
1195.67858,   3.55754
 436.73956,   3.06325
1248.31182,   3.57880
4104401.82596,   7.61403
6721.01845,   4.41258
3287.84467,   4.05767
4602210.13328,   7.67126
60189.35102,   5.50467
2881901.10725,   7.43728
63833.71252,   5.53400
4907.28677,   4.25639
186946.55638,   6.07045
54993.98904,   5.45963
2878.12540,   3.99180
 166.22849,   2.59515
53508.81657,   5.44598
15629.89135,   4.83252
109578.63670,   5.80374
1912.81467,   3.78975
1625.00784,   3.70919
127156.88456,   5.87801
5858.46147,   4.34446
6788.55819,   4.41767
121525.54557,   5.85541
27389.01352,   5.11205
6064.49719,   4.36168
6115.53741,   4.36590
13392.56513,   4.75571
126657.23237,   5.87608
232496.65660,   6.17940
11531.55181,   4.68127
79966.17732,   5.64653
81965.21510,   5.65885
9066.25236,   4.56164
146418.85779,   5.94848
28137.13303,   5.12554
8351.58871,   4.52078
462480.01499,   6.52294
30643.35358,   5.16806
36753.96364,   5.25872
216012.86081,   6.14267
6095.09253,   4.36429
61208.20153,   5.51313
110989.63919,   5.81016
3509.47180,   4.09041
311284.44251,   6.32517
84809.26821,   5.67588
40286.82988,   5.30451
62766.92513,   5.52569
33803.64355,   5.21703
60771.84207,   5.50958
27849.22529,   5.12043
5734.30780,   4.33405
32272.33870,   5.19392
7108.30163,   4.44076
13862.07915,   4.77294
13288.80669,   4.75192
5017.02844,   4.26774
152542.97679,   5.96895
36162.91819,   5.25065
10840.88378,   4.65079
5139.11033,   4.27994
81434.35006,   5.65568
  79.44942,   2.24696
3084.12717,   4.02673
1675.56599,   3.72516
64394.96096,   5.53853
6713.99598,   4.41259
37400.20058,   5.26750
3297713.56298,   7.50467
12262.77102,   4.71199
4063.28657,   4.16326
8839.48350,   4.54918
9040721.17088,   8.00880
10197.75574,   4.62026
5411243.19015,   7.75222
3937.98008,   4.14772
6987.97709,   4.43239
79284.46060,   5.64228
21344.04810,   4.98790
62130.45551,   5.52063
2527.71950,   3.92805
10370.36007,   4.62855
12384.26429,   4.71693
7787.74882,   4.48626
67048.80537,   5.55867
1252.88950,   3.58169
6264.72163,   4.37810
17982.58422,   4.90257
 751.93808,   3.33078
110184.52609,   5.80657
1766.42960,   3.75103
14192.65045,   4.78469
9088.79207,   4.56295
6238.72378,   4.37597
2530.91510,   3.92866
1843536.57126,   7.21399
3962.31439,   4.15064
4472.44960,   4.21067
2480.62395,   3.91862
3879826.89034,   7.58592
1245.17383,   3.57829
2899999.16159,   7.44042
 667.96615,   3.27222
 844.93010,   3.38742
1225.39206,   3.57026
22221.59556,   5.00789
4279.93462,   4.18870
 389.59121,   3.00834
104114.85030,   5.77821
5311.19919,   4.29569
 831.08410,   3.37874
 159.05521,   2.57403
1565.09171,   3.69053
3384.30172,   4.07205
5399.87173,   4.30384
1053.34990,   3.49514
 143.79899,   2.52518
5249.24683,   4.28980
 599.30707,   3.21816
1330.85246,   3.61042
6149.07517,   4.36844
3091.93933,   4.02731
9577.94818,   4.58873
49339.62137,   5.40550
7630.42898,   4.47568
 364.63093,   2.97539
685138.94236,   6.71929
1219.48850,   3.56735
 885.66939,   3.40995
3787.95428,   4.12799
19750.73182,   4.94907
69267.72199,   5.57479
7737.09253,   4.48263
3111.38864,   4.03052
56742.38692,   5.47528
17534.64700,   4.88983
27428.82376,   5.11282
143718.85917,   5.93918
474162.12745,   6.53541
90977.99437,   5.71091
315126.64230,   6.33129
59689.51144,   5.50060
102375.06222,   5.76984
714178.97526,   6.74007
286103.45107,   6.28303
60060.56863,   5.50369
582440.02983,   6.63818
37518.95807,   5.26900
424884.36771,   6.48063
94480.80473,   5.72989
22600.55515,   5.01658
238473.11621,   6.19214
144476.45022,   5.94188
1736795.28485,   7.18421
2020720.38760,   7.25988
4419109.59480,   7.65101
2849298.50658,   7.43165
43246.95917,   5.34023
4314600.28178,   7.63905
218664.55093,   6.14894
16197867.44695,   8.30035
8580358.40479,   7.98271
29251973.83141,   8.59585
278642.86499,   6.27029
372112.20043,   6.41475
757005.44341,   6.76950
18100298.74792,   8.35591
11118704.98546,   8.11232
108121273.68583,   9.24946
38629278.26169,   8.73490
314020368.44944,   9.78253
150174715.17065,   9.41373
51117685.25658,   8.87495
29071491.75062,   8.59280
26972165.31287,   8.55533
124975220.86581,   9.32189
44709826.88770,   8.80799
58252766.24286,   8.94027
16609994.83673,   8.31298
16572432.63828,   8.31185
5903222.39083,   7.79589
870565.53000,   6.83945
5594358.86640,   7.76903
2869063.17934,   7.43529
724572.25162,   6.74776
10633933.88348,   8.09007
2180735.29052,   7.29822
12120016.72232,   8.15545
1133111.04437,   6.97112
1136155.21860,   6.97246
1868183.40821,   7.22092
1313516.22746,   7.04493
2097456.07720,   7.27876
760673.39482,   6.77205
222701.96462,   6.15877
260461.00982,   6.23694
106931.92797,   5.79284
